"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"1",0,1172076.93195969,657331.520099094,1028116.15506384,442872.472714685,648267.391354697,160486.690662606,427946.598967349,1143540.53474609,648764.188536159,211647.720779172,1148203.38082937,300341.511546547,995407.384278157,640727.465533776,595837.131689225,610122.399575525,240976.628116186,172754.602805598,693503.137847449,839029.023728821,552450.680785198,402700.944295225,1134412.42136278,478387.674542031
"2",1172076.93195969,0,700113.763045487,361817.379409842,1108433.43368324,827608.437309563,1124766.5040422,938992.30217799,39282.4297753749,836495.634795424,1060618.93694064,132312.945689081,1036359.3912455,311205.485250616,932936.728886183,903629.206298742,673132.26516874,1019430.88469504,1114186.38041207,873068.624530981,560254.881894106,869068.82253482,1339710.40316595,127078.854946045,1038995.48264907
"3",657331.520099094,700113.763045487,0,421094.969541607,422416.936635992,134151.397889966,539209.173208111,274302.302640266,661963.862785788,143452.8813116,468416.675205824,747007.109268931,405354.335531769,420042.169458164,238928.013334661,203765.853147917,81983.4152339424,428382.944476312,525155.793716788,196290.58739315,193290.449025369,173134.187363952,672904.40188976,731123.279577424,347551.855573895
"4",1028116.15506384,361817.379409842,421094.969541607,0,842439.041437205,525544.75821724,936907.855285017,692860.292848675,324128.09021152,533221.30358082,866518.876263435,464457.060115741,816523.668639053,74228.2599287046,624158.244455512,608854.579735382,431955.463637181,824439.350969981,923831.387704948,554518.733159971,237290.023998578,592189.20614036,1093978.42293094,451332.57782156,766365.992529684
"5",442872.472714685,1108433.43368324,422416.936635992,842439.041437205,0,328215.336071862,282512.251271205,175137.517605898,1071718.59716708,322817.219623567,248615.757967458,1135983.94155325,169595.487903031,841849.642900839,260135.577146612,245567.131680383,435390.916955712,246151.909681991,270985.516535839,333983.57266343,608320.148284295,250256.198864076,257670.609898737,1120204.99746457,77659.641435198
"6",648267.391354697,827608.437309563,134151.397889966,525544.75821724,328215.336071862,0,508668.611750593,224217.056452153,788984.393807375,9302.03028449262,441851.752130373,879455.525676408,362362.125170141,536373.10621317,105819.749587718,84289.6875979352,198697.140356952,407738.320265482,494147.901370994,70852.1115778921,288277.265656788,96855.4155023946,585755.870392048,863600.08029311,250565.496469955
"7",160486.690662606,1124766.5040422,539209.173208111,936907.855285017,282512.251271205,508668.611750593,0,284486.399283712,1092840.29217809,507899.503682335,70992.3818260819,1118947.90292054,148004.23272383,913846.228602657,488915.788746061,448087.254775292,506398.496866404,112564.497261898,14520.7133907226,546936.045715959,729304.291835065,411813.697553301,290811.776730608,1104180.53636713,319591.913379631
"8",427946.598967349,938992.30217799,274302.302640266,692860.292848675,175137.517605898,224217.056452153,284486.399283712,0,902953.48015292,223433.061404255,218559.314460561,962310.439108609,138589.457490801,684108.486825048,217385.239123242,168453.738641667,269270.579803694,187230.605022968,269966.414998237,265559.689639849,467397.595306963,127383.694518904,404614.786398207,946579.770547829,124956.739948738
"9",1143540.53474609,39282.4297753749,661963.862785788,324128.09021152,1071718.59716708,788984.393807375,1092840.29217809,902953.48015292,0,797847.197128231,1028069.47857339,155307.46481111,1002086.56860557,272184.836073016,894226.915085029,865346.730336831,636330.912251834,986685.443479448,1082056.40940122,834057.084271794,520981.048501869,831415.737531624,1304468.07481481,146701.877773845,1001843.4585565
"10",648764.188536159,836495.634795424,143452.8813116,533221.30358082,322817.219623567,9302.03028449262,507899.503682335,223433.061404255,797847.197128231,0,441566.078049638,888642.621060296,361144.632370321,544697.102648928,96718.917421338,77877.4857921312,207602.748216335,408008.916435402,493381.111299593,63422.0996016307,295931.29585418,96474.7417112854,580461.52247633,872789.325785482,245228.176196267
"11",211647.720779172,1060618.93694064,468416.675205824,866518.876263435,248615.757967458,441851.752130373,70992.3818260819,218559.314460561,1028069.47857339,441566.078049638,0,1058977.03759323,89474.3241770088,844416.910428255,429137.625642116,385159.182363131,435632.597141397,42288.3032651649,57396.235990257,483430.579339503,658319.667185975,345137.679018067,320321.568050921,1044010.91116451,270925.960635598
"12",1148203.38082937,132312.945689081,747007.109268931,464457.060115741,1135983.94155325,879455.525676408,1118947.90292054,962310.439108609,155307.46481111,888642.621060296,1058977.03759323,0,1045782.41198571,402533.388583432,985196.276694576,949706.997435804,706668.819173045,1019348.48021387,1109623.90078665,931936.536810439,633286.332937945,907990.052524504,1353806.75354984,15907.1067915845,1071170.57708116
"13",300341.511546547,1036359.3912455,405354.335531769,816523.668639053,169595.487903031,362362.125170141,148004.23272383,138589.457490801,1002086.56860557,361144.632370321,89474.3241770088,1045782.41198571,0,801027.027842543,341610.452198358,300085.640484762,385247.471896001,76868.61828457,133613.49192565,398953.35727701,598259.590716041,265706.506235372,309000.715741172,1030412.39314752,182227.897191125
"14",995407.384278157,311205.485250616,420042.169458164,74228.2599287046,841849.642900839,536373.10621317,913846.228602657,684108.486825048,272184.836073016,544697.102648928,844416.910428255,402533.388583432,801027.027842543,0,639041.240885974,617336.029624861,416589.282397486,802132.881144686,901295.32980154,573671.344315566,254719.596591698,593174.458205761,1088294.62487399,388616.623405822,767547.509484653
"15",640727.465533776,932936.728886183,238928.013334661,624158.244455512,260135.577146612,105819.749587718,488915.788746061,217385.239123242,894226.915085029,96718.917421338,429137.625642116,985196.276694576,341610.452198358,639041.240885974,0,57335.7611171136,295984.80125408,402329.565481877,474718.806589531,76249.9068215967,387486.700145107,121469.408918525,514209.552412022,969335.199349206,187106.768957721
"16",595837.131689225,903629.206298742,203765.853147917,608854.579735382,245567.131680383,84289.6875979352,448087.254775292,168453.738641667,865346.730336831,77877.4857921312,385159.182363131,949706.997435804,300085.640484762,617336.029624861,57335.7611171136,0,250382.461638518,355540.664028511,433678.636951412,98965.3215267806,371774.617407063,64251.857885251,503221.845925305,933806.57217633,168203.246381024
"17",610122.399575525,673132.26516874,81983.4152339424,431955.463637181,435390.916955712,198697.140356952,506398.496866404,269270.579803694,636330.912251834,207602.748216335,435632.597141397,706668.819173045,385247.471896001,416589.282397486,295984.80125408,250382.461638518,0,393845.516710187,493027.842275422,267122.842426921,229230.108926629,202011.455926878,673807.6128376,690778.153844359,366335.28140296
"18",240976.628116186,1019430.88469504,428382.944476312,824439.350969981,246151.909681991,407738.320265482,112564.497261898,187230.605022968,986685.443479448,408008.916435402,42288.3032651649,1019348.48021387,76868.61828457,802132.881144686,402329.565481877,355540.664028511,393845.516710187,0,99400.660582709,452729.017330639,617414.255214825,311604.081362753,350925.456403894,1004306.94494811,256148.448753071
"19",172754.602805598,1114186.38041207,525155.793716788,923831.387704948,270985.516535839,494147.901370994,14520.7133907226,269966.414998237,1082056.40940122,493381.111299593,57396.235990257,1109623.90078665,133613.49192565,901295.32980154,474718.806589531,433678.636951412,493027.842275422,99400.660582709,0,532509.788743363,715475.462002083,397292.997199501,291163.346065399,1094797.65430873,306331.100449014
"20",693503.137847449,873068.624530981,196290.58739315,554518.733159971,333983.57266343,70852.1115778921,546936.045715959,265559.689639849,834057.084271794,63422.0996016307,483430.579339503,931936.536810439,398953.35727701,573671.344315566,76249.9068215967,98965.3215267806,267122.842426921,452729.017330639,532509.788743363,0,319712.960418062,145508.164059438,589518.729963953,916171.574614262,258921.472431126
"21",839029.023728821,560254.881894106,193290.449025369,237290.023998578,608320.148284295,288277.265656788,729304.291835065,467397.595306963,520981.048501869,295931.29585418,658319.667185975,633286.332937945,598259.590716041,254719.596591698,387486.700145107,371774.617407063,229230.108926629,617414.255214825,715475.462002083,319712.960418062,0,358555.66373424,862540.659290253,618021.987459603,531517.110837789
"22",552450.680785198,869068.82253482,173134.187363952,592189.20614036,250256.198864076,96855.4155023946,411813.697553301,127383.694518904,831415.737531624,96474.7417112854,345137.679018067,907990.052524504,265706.506235372,593174.458205761,121469.408918525,64251.857885251,202011.455926878,311604.081362753,397292.997199501,145508.164059438,358555.66373424,0,504169.306938214,892087.636326069,174549.588633978
"23",402700.944295225,1339710.40316595,672904.40188976,1093978.42293094,257670.609898737,585755.870392048,290811.776730608,404614.786398207,1304468.07481481,580461.52247633,320321.568050921,1353806.75354984,309000.715741172,1088294.62487399,514209.552412022,503221.845925305,673807.6128376,350925.456403894,291163.346065399,589518.729963953,862540.659290253,504169.306938214,0,1338352.8424498,335235.597423933
"24",1134412.42136278,127078.854946045,731123.279577424,451332.57782156,1120204.99746457,863600.08029311,1104180.53636713,946579.770547829,146701.877773845,872789.325785482,1044010.91116451,15907.1067915845,1030412.39314752,388616.623405822,969335.199349206,933806.57217633,690778.153844359,1004306.94494811,1094797.65430873,916171.574614262,618021.987459603,892087.636326069,1338352.8424498,0,1055324.76230297
"25",478387.674542031,1038995.48264907,347551.855573895,766365.992529684,77659.641435198,250565.496469955,319591.913379631,124956.739948738,1001843.4585565,245228.176196267,270925.960635598,1071170.57708116,182227.897191125,767547.509484653,187106.768957721,168203.246381024,366335.28140296,256148.448753071,306331.100449014,258921.472431126,531517.110837789,174549.588633978,335235.597423933,1055324.76230297,0
